"signature_name","gene_id","gene_type","gene_name","weight","entrez_id"
"CD8_T_cells_Bindea_et_al","ENSG00000172116.23","protein_coding","CD8B",NA,926
"CD8_T_cells_Bindea_et_al","ENSG00000153563.16","protein_coding","CD8A",NA,925
"CD8_T_cells_Bindea_et_al","ENSG00000163737.5","protein_coding","PF4",NA,5196
"CD8_T_cells_Bindea_et_al","ENSG00000186654.21","protein_coding","PRR5",NA,55615
"CD8_T_cells_Bindea_et_al","ENSG00000168066.21","protein_coding","SF1",NA,7536
"CD8_T_cells_Bindea_et_al","ENSG00000203896.10","protein_coding","LIME1",NA,54923
"CD8_T_cells_Bindea_et_al","ENSG00000132002.9","protein_coding","DNAJB1",NA,3337
"CD8_T_cells_Bindea_et_al","ENSG00000241484.10","protein_coding","ARHGAP8",NA,23779
"CD8_T_cells_Bindea_et_al","ENSG00000197540.8","protein_coding","GZMM",NA,3004
"CD8_T_cells_Bindea_et_al","ENSG00000118596.12","protein_coding","SLC16A7",NA,9194
"CD8_T_cells_Bindea_et_al","ENSG00000115875.19","protein_coding","SRSF7",NA,6432
"CD8_T_cells_Bindea_et_al","ENSG00000034053.15","protein_coding","APBA2",NA,321
"CD8_T_cells_Bindea_et_al","ENSG00000214367.9","protein_coding","HAUS3",NA,79441
"CD8_T_cells_Bindea_et_al","ENSG00000104660.19","protein_coding","LEPROTL1",NA,23484
"CD8_T_cells_Bindea_et_al","ENSG00000152518.8","protein_coding","ZFP36L2",NA,678
"CD8_T_cells_Bindea_et_al","ENSG00000116717.13","protein_coding","GADD45A",NA,1647
"CD8_T_cells_Bindea_et_al","ENSG00000083168.11","protein_coding","KAT6A",NA,7994
"CD8_T_cells_Bindea_et_al","ENSG00000148516.23","protein_coding","ZEB1",NA,6935
"CD8_T_cells_Bindea_et_al","ENSG00000180357.10","protein_coding","ZNF609",NA,23060
"CD8_T_cells_Bindea_et_al",NA,NA,"C12orf47",NA,NA
"CD8_T_cells_Bindea_et_al","ENSG00000066654.14","protein_coding","THUMPD1",NA,55623
"CD8_T_cells_Bindea_et_al","ENSG00000220205.9","protein_coding","VAMP2",NA,6844
"CD8_T_cells_Bindea_et_al","ENSG00000167232.14","protein_coding","ZNF91",NA,7644
"CD8_T_cells_Bindea_et_al","ENSG00000165512.5","protein_coding","ZNF22",NA,7570
"CD8_T_cells_Bindea_et_al","ENSG00000141524.18","protein_coding","TMC6",NA,11322
"CD8_T_cells_Bindea_et_al","ENSG00000090554.13","protein_coding","FLT3LG",NA,2323
"CD8_T_cells_Bindea_et_al","ENSG00000168564.6","protein_coding","CDKN2AIP",NA,55602
"CD8_T_cells_Bindea_et_al","ENSG00000157514.18","protein_coding","TSC22D3",NA,1831
"CD8_T_cells_Bindea_et_al","ENSG00000124659.7","protein_coding","TBCC",NA,6903
"CD8_T_cells_Bindea_et_al","ENSG00000102317.18","protein_coding","RBM3",NA,5935
"CD8_T_cells_Bindea_et_al","ENSG00000146109.5","protein_coding","ABT1",NA,29777
"CD8_T_cells_Bindea_et_al","ENSG00000234608.9","lncRNA","MAPKAPK5-AS1",NA,51275
"CD8_T_cells_Bindea_et_al","ENSG00000164615.6","protein_coding","CAMLG",NA,819
"CD8_T_cells_Bindea_et_al","ENSG00000184203.8","protein_coding","PPP1R2",NA,5504
"CD8_T_cells_Bindea_et_al","ENSG00000104964.15","protein_coding","TLE5",NA,166
"CD8_T_cells_Bindea_et_al","ENSG00000119138.5","protein_coding","KLF9",NA,687
"CD8_T_cells_Bindea_et_al","ENSG00000180644.8","protein_coding","PRF1",NA,5551
