"","signature_name","gene_id","gene_type","gene_name","weight"
"1","PredictIO","ENSG00000183386.10","protein_coding","FHL3","resistance"
"2","PredictIO","ENSG00000179431.7","protein_coding","FJX1","resistance"
"3","PredictIO","ENSG00000138639.18","protein_coding","ARHGAP24","resistance"
"4","PredictIO","ENSG00000163032.12","protein_coding","VSNL1","resistance"
"5","PredictIO","ENSG00000168575.10","protein_coding","SLC20A2","resistance"
"6","PredictIO","ENSG00000109846.9","protein_coding","CRYAB","resistance"
"7","PredictIO","ENSG00000187260.16","protein_coding","WDR86","resistance"
"8","PredictIO","ENSG00000136161.13","protein_coding","RCBTB2","resistance"
"9","PredictIO","ENSG00000133710.16","protein_coding","SPINK5","resistance"
"10","PredictIO","ENSG00000100320.24","protein_coding","RBFOX2","resistance"
"11","PredictIO","ENSG00000132535.22","protein_coding","DLG4","resistance"
"12","PredictIO","ENSG00000197461.13","protein_coding","PDGFA","resistance"
"13","PredictIO","ENSG00000174306.22","protein_coding","ZHX3","resistance"
"14","PredictIO","ENSG00000136542.9","protein_coding","GALNT5","resistance"
"15","PredictIO","ENSG00000253305.3","protein_coding","PCDHGB6","resistance"
"16","PredictIO","ENSG00000172139.15","protein_coding","SLC9C1","resistance"
"17","PredictIO","ENSG00000227051.7","protein_coding","C14orf132","resistance"
"18","PredictIO","ENSG00000164675.11","protein_coding","IQUB","resistance"
"19","PredictIO","ENSG00000184985.16","protein_coding","SORCS2","resistance"
"20","PredictIO","ENSG00000104267.10","protein_coding","CA2","resistance"
"21","PredictIO","ENSG00000164251.5","protein_coding","F2RL1","resistance"
"22","PredictIO","ENSG00000198121.15","protein_coding","LPAR1","resistance"
"23","PredictIO","ENSG00000125398.8","protein_coding","SOX9","resistance"
"24","PredictIO","ENSG00000117215.15","protein_coding","PLA2G2D","sensitive"
"25","PredictIO","ENSG00000073861.3","protein_coding","TBX21","sensitive"
"26","PredictIO","ENSG00000026751.17","protein_coding","SLAMF7","sensitive"
"27","PredictIO","ENSG00000154767.15","protein_coding","XPC","sensitive"
"28","PredictIO","ENSG00000138755.6","protein_coding","CXCL9","sensitive"
"29","PredictIO","ENSG00000166710.23","protein_coding","B2M","sensitive"
"30","PredictIO","ENSG00000116663.11","protein_coding","FBXO6","sensitive"
"31","PredictIO","ENSG00000169245.6","protein_coding","CXCL10","sensitive"
"32","PredictIO","ENSG00000213402.3","protein_coding","PTPRCAP","sensitive"
"33","PredictIO","ENSG00000117560.8","protein_coding","FASLG","sensitive"
"34","PredictIO","ENSG00000161405.17","protein_coding","IKZF3","sensitive"
"35","PredictIO","ENSG00000176928.7","protein_coding","GCNT4","sensitive"
"36","PredictIO","ENSG00000163508.13","protein_coding","EOMES","sensitive"
"37","PredictIO","ENSG00000153563.16","protein_coding","CD8A","sensitive"
"38","PredictIO","ENSG00000221963.6","protein_coding","APOL6","sensitive"
"39","PredictIO","ENSG00000196730.13","protein_coding","DAPK1","sensitive"
