"","signature_name","gene_id","gene_type","gene_name","weight"
"1","STAT1","ENSG00000115415.20","protein_coding","STAT1",NA
"2","STAT1","ENSG00000117228.11","protein_coding","GBP1",NA
"3","STAT1","ENSG00000125347.15","protein_coding","IRF1",NA
"4","STAT1",NA,NA,"WARS",NA
"5","STAT1",NA,NA,"RARRES3",NA
"6","STAT1","ENSG00000138755.6","protein_coding","CXCL9",NA
"7","STAT1","ENSG00000154451.15","protein_coding","GBP5",NA
"8","STAT1","ENSG00000002549.13","protein_coding","LAP3",NA
"9","STAT1","ENSG00000128284.20","protein_coding","APOL3",NA
"10","STAT1","ENSG00000131203.13","protein_coding","IDO1",NA
"11","STAT1","ENSG00000162654.9","protein_coding","GBP4",NA
"12","STAT1","ENSG00000089692.9","protein_coding","LAG3",NA
"13","STAT1","ENSG00000169245.6","protein_coding","CXCL10",NA
"14","STAT1","ENSG00000145649.8","protein_coding","GZMA",NA
"15","STAT1","ENSG00000180644.8","protein_coding","PRF1",NA
"16","STAT1","ENSG00000111537.5","protein_coding","IFNG",NA
"17","STAT1","ENSG00000162645.13","protein_coding","GBP2",NA
"18","STAT1","ENSG00000160791.14","protein_coding","CCR5",NA
"19","STAT1","ENSG00000136867.11","protein_coding","SLC31A2",NA
"20","STAT1","ENSG00000221963.6","protein_coding","APOL6",NA
"21","STAT1","ENSG00000169248.13","protein_coding","CXCL11",NA
"22","STAT1","ENSG00000197249.14","protein_coding","SERPINA1",NA
"23","STAT1","ENSG00000198019.13","protein_coding","FCGR1B",NA
"24","STAT1","ENSG00000121858.11","protein_coding","TNFSF10",NA
"25","STAT1","ENSG00000113088.6","protein_coding","GZMK",NA
"26","STAT1","ENSG00000077984.6","protein_coding","CST7",NA
"27","STAT1","ENSG00000127951.8","protein_coding","FGL2",NA
"28","STAT1","ENSG00000168394.12","protein_coding","TAP1",NA
"29","STAT1","ENSG00000149131.17","protein_coding","SERPING1",NA
"30","STAT1","ENSG00000158869.11","protein_coding","FCER1G",NA
"31","STAT1","ENSG00000116824.5","protein_coding","CD2",NA
"32","STAT1","ENSG00000133574.10","protein_coding","GIMAP4",NA
"33","STAT1","ENSG00000119917.15","protein_coding","IFIT3",NA
"34","STAT1","ENSG00000275302.2","protein_coding","CCL4",NA
"35","STAT1","ENSG00000172215.6","protein_coding","CXCR6",NA
"36","STAT1","ENSG00000196329.12","protein_coding","GIMAP5",NA
"37","STAT1","ENSG00000132530.17","protein_coding","XAF1",NA
"38","STAT1","ENSG00000026751.17","protein_coding","SLAMF7",NA
"39","STAT1","ENSG00000152766.6","protein_coding","ANKRD22",NA
