"","signature_name","sub_signature_name","gene_id","gene_type","gene_name","weight"
"1","IPRES","DTP_BLOOD_VESS_DEVEL_UP","ENSG00000105974.13","protein_coding","CAV1",NA
"2","IPRES","DTP_BLOOD_VESS_DEVEL_UP","ENSG00000099250.18","protein_coding","NRP1",NA
"3","IPRES","DTP_BLOOD_VESS_DEVEL_UP","ENSG00000135363.12","protein_coding","LMO2",NA
"4","IPRES","DTP_BLOOD_VESS_DEVEL_UP","ENSG00000078401.7","protein_coding","EDN1",NA
"5","IPRES","DTP_BLOOD_VESS_DEVEL_UP","ENSG00000168542.16","protein_coding","COL3A1",NA
"6","IPRES","DTP_BLOOD_VESS_DEVEL_UP","ENSG00000239697.11","protein_coding","TNFSF12",NA
"7","IPRES","DTP_BLOOD_VESS_DEVEL_UP","ENSG00000087245.13","protein_coding","MMP2",NA
"8","IPRES","DTP_BLOOD_VESS_DEVEL_UP","ENSG00000164442.10","protein_coding","CITED2",NA
"9","IPRES","DTP_BLOOD_VESS_DEVEL_UP","ENSG00000130812.11","protein_coding","ANGPTL6",NA
"10","IPRES","DTP_BLOOD_VESS_DEVEL_UP","ENSG00000121966.8","protein_coding","CXCR4",NA
"11","IPRES","DTP_BLOOD_VESS_DEVEL_UP","ENSG00000161714.12","protein_coding","PLCD3",NA
"12","IPRES","DTP_BLOOD_VESS_DEVEL_UP","ENSG00000143878.10","protein_coding","RHOB",NA
"13","IPRES","DTP_BLOOD_VESS_DEVEL_UP","ENSG00000112531.17","protein_coding","QKI",NA
"14","IPRES","DTP_BLOOD_VESS_DEVEL_UP","ENSG00000075223.14","protein_coding","SEMA3C",NA
"15","IPRES","DTP_BLOOD_VESS_DEVEL_UP","ENSG00000137801.11","protein_coding","THBS1",NA
"16","IPRES","DTP_BLOOD_VESS_DEVEL_UP",NA,NA,"CYR61",NA
"17","IPRES","DTP_BLOOD_VESS_DEVEL_UP","ENSG00000102554.14","protein_coding","KLF5",NA
"18","IPRES","DTP_BLOOD_VESS_DEVEL_UP","ENSG00000182871.16","protein_coding","COL18A1",NA
"19","IPRES","DTP_BLOOD_VESS_DEVEL_UP","ENSG00000116016.14","protein_coding","EPAS1",NA
"20","IPRES","DTP_BLOOD_VESS_DEVEL_UP","ENSG00000123342.16","protein_coding","MMP19",NA
"21","IPRES","DTP_BLOOD_VESS_DEVEL_UP","ENSG00000100345.23","protein_coding","MYH9",NA
"22","IPRES","DTP_BLOOD_VESS_DEVEL_UP","ENSG00000138639.18","protein_coding","ARHGAP24",NA
"23","IPRES","DTP_BLOOD_VESS_DEVEL_UP","ENSG00000130635.16","protein_coding","COL5A1",NA
"24","IPRES","DTP_BLOOD_VESS_DEVEL_UP","ENSG00000182718.18","protein_coding","ANXA2",NA
"25","IPRES","DTP_BLOOD_VESS_DEVEL_UP","ENSG00000154096.14","protein_coding","THY1",NA
"26","IPRES","DTP_BLOOD_VESS_DEVEL_UP","ENSG00000128602.11","protein_coding","SMO",NA
"27","IPRES","DTP_BLOOD_VESS_DEVEL_UP","ENSG00000140945.17","protein_coding","CDH13",NA
"28","IPRES","DTP_BLOOD_VESS_DEVEL_UP","ENSG00000182492.16","protein_coding","BGN",NA
"29","IPRES","DTP_BLOOD_VESS_DEVEL_UP","ENSG00000177606.8","protein_coding","JUN",NA
"30","IPRES","DTP_BLOOD_VESS_DEVEL_UP","ENSG00000148053.18","protein_coding","NTRK2",NA
"31","IPRES","DTP_BLOOD_VESS_DEVEL_UP","ENSG00000164692.19","protein_coding","COL1A2",NA
"32","IPRES","DTP_BLOOD_VESS_DEVEL_UP","ENSG00000108821.14","protein_coding","COL1A1",NA
"33","IPRES","DTP_BLOOD_VESS_DEVEL_UP","ENSG00000122861.16","protein_coding","PLAU",NA
