"","signature_name","sub_signature_name","gene_id","gene_type","gene_name","weight"
"1","IPRES","DTPP_REG_CELL_PROLIF_UP",NA,NA,"RARRES3",NA
"2","IPRES","DTPP_REG_CELL_PROLIF_UP","ENSG00000075426.12","protein_coding","FOSL2",NA
"3","IPRES","DTPP_REG_CELL_PROLIF_UP","ENSG00000140285.12","protein_coding","FGF7",NA
"4","IPRES","DTPP_REG_CELL_PROLIF_UP","ENSG00000099250.18","protein_coding","NRP1",NA
"5","IPRES","DTPP_REG_CELL_PROLIF_UP","ENSG00000100311.17","protein_coding","PDGFB",NA
"6","IPRES","DTPP_REG_CELL_PROLIF_UP","ENSG00000158815.11","protein_coding","FGF17",NA
"7","IPRES","DTPP_REG_CELL_PROLIF_UP","ENSG00000163453.11","protein_coding","IGFBP7",NA
"8","IPRES","DTPP_REG_CELL_PROLIF_UP","ENSG00000078401.7","protein_coding","EDN1",NA
"9","IPRES","DTPP_REG_CELL_PROLIF_UP","ENSG00000152661.9","protein_coding","GJA1",NA
"10","IPRES","DTPP_REG_CELL_PROLIF_UP","ENSG00000184481.17","protein_coding","FOXO4",NA
"11","IPRES","DTPP_REG_CELL_PROLIF_UP","ENSG00000154639.19","protein_coding","CXADR",NA
"12","IPRES","DTPP_REG_CELL_PROLIF_UP","ENSG00000114812.13","protein_coding","VIPR1",NA
"13","IPRES","DTPP_REG_CELL_PROLIF_UP","ENSG00000106571.15","protein_coding","GLI3",NA
"14","IPRES","DTPP_REG_CELL_PROLIF_UP","ENSG00000164509.16","protein_coding","IL31RA",NA
"15","IPRES","DTPP_REG_CELL_PROLIF_UP","ENSG00000160862.13","protein_coding","AZGP1",NA
"16","IPRES","DTPP_REG_CELL_PROLIF_UP","ENSG00000144891.19","protein_coding","AGTR1",NA
"17","IPRES","DTPP_REG_CELL_PROLIF_UP",NA,NA,"WISP2",NA
"18","IPRES","DTPP_REG_CELL_PROLIF_UP","ENSG00000176697.20","protein_coding","BDNF",NA
"19","IPRES","DTPP_REG_CELL_PROLIF_UP","ENSG00000147257.16","protein_coding","GPC3",NA
"20","IPRES","DTPP_REG_CELL_PROLIF_UP","ENSG00000136630.13","protein_coding","HLX",NA
"21","IPRES","DTPP_REG_CELL_PROLIF_UP","ENSG00000106366.9","protein_coding","SERPINE1",NA
"22","IPRES","DTPP_REG_CELL_PROLIF_UP","ENSG00000145431.11","protein_coding","PDGFC",NA
"23","IPRES","DTPP_REG_CELL_PROLIF_UP","ENSG00000157168.20","protein_coding","NRG1",NA
"24","IPRES","DTPP_REG_CELL_PROLIF_UP","ENSG00000138685.17","protein_coding","FGF2",NA
"25","IPRES","DTPP_REG_CELL_PROLIF_UP","ENSG00000105246.6","protein_coding","EBI3",NA
"26","IPRES","DTPP_REG_CELL_PROLIF_UP","ENSG00000146648.20","protein_coding","EGFR",NA
"27","IPRES","DTPP_REG_CELL_PROLIF_UP","ENSG00000154229.12","protein_coding","PRKCA",NA
"28","IPRES","DTPP_REG_CELL_PROLIF_UP","ENSG00000152894.15","protein_coding","PTPRK",NA
"29","IPRES","DTPP_REG_CELL_PROLIF_UP","ENSG00000125384.7","protein_coding","PTGER2",NA
"30","IPRES","DTPP_REG_CELL_PROLIF_UP","ENSG00000101017.15","protein_coding","CD40",NA
"31","IPRES","DTPP_REG_CELL_PROLIF_UP","ENSG00000169047.6","protein_coding","IRS1",NA
"32","IPRES","DTPP_REG_CELL_PROLIF_UP","ENSG00000197646.8","protein_coding","PDCD1LG2",NA
"33","IPRES","DTPP_REG_CELL_PROLIF_UP","ENSG00000123933.17","protein_coding","MXD4",NA
"34","IPRES","DTPP_REG_CELL_PROLIF_UP","ENSG00000134323.12","protein_coding","MYCN",NA
"35","IPRES","DTPP_REG_CELL_PROLIF_UP","ENSG00000136205.17","protein_coding","TNS3",NA
"36","IPRES","DTPP_REG_CELL_PROLIF_UP","ENSG00000150630.4","protein_coding","VEGFC",NA
"37","IPRES","DTPP_REG_CELL_PROLIF_UP","ENSG00000169252.6","protein_coding","ADRB2",NA
"38","IPRES","DTPP_REG_CELL_PROLIF_UP","ENSG00000134917.10","protein_coding","ADAMTS8",NA
