"signature_name","sub_signature_name","gene_id","gene_type","gene_name","weight"
"IPRES_Hugo","EP_RESP_TO_WOUNDING_DN_IN_R","ENSG00000164220.7","protein_coding","F2RL2",NA
"IPRES_Hugo","EP_RESP_TO_WOUNDING_DN_IN_R","ENSG00000143546.10","protein_coding","S100A8",NA
"IPRES_Hugo","EP_RESP_TO_WOUNDING_DN_IN_R","ENSG00000100311.17","protein_coding","PDGFB",NA
"IPRES_Hugo","EP_RESP_TO_WOUNDING_DN_IN_R","ENSG00000197461.13","protein_coding","PDGFA",NA
"IPRES_Hugo","EP_RESP_TO_WOUNDING_DN_IN_R","ENSG00000164251.5","protein_coding","F2RL1",NA
"IPRES_Hugo","EP_RESP_TO_WOUNDING_DN_IN_R","ENSG00000163220.11","protein_coding","S100A9",NA
"IPRES_Hugo","EP_RESP_TO_WOUNDING_DN_IN_R","ENSG00000137462.9","protein_coding","TLR2",NA
"IPRES_Hugo","EP_RESP_TO_WOUNDING_DN_IN_R","ENSG00000163464.8","protein_coding","CXCR1",NA
"IPRES_Hugo","EP_RESP_TO_WOUNDING_DN_IN_R","ENSG00000180871.8","protein_coding","CXCR2",NA
"IPRES_Hugo","EP_RESP_TO_WOUNDING_DN_IN_R","ENSG00000095752.7","protein_coding","IL11",NA
"IPRES_Hugo","EP_RESP_TO_WOUNDING_DN_IN_R","ENSG00000092969.12","protein_coding","TGFB2",NA
"IPRES_Hugo","EP_RESP_TO_WOUNDING_DN_IN_R","ENSG00000138794.10","protein_coding","CASP6",NA
"IPRES_Hugo","EP_RESP_TO_WOUNDING_DN_IN_R","ENSG00000170345.10","protein_coding","FOS",NA
"IPRES_Hugo","EP_RESP_TO_WOUNDING_DN_IN_R","ENSG00000213694.6","protein_coding","S1PR3",NA
"IPRES_Hugo","EP_RESP_TO_WOUNDING_DN_IN_R","ENSG00000172936.16","protein_coding","MYD88",NA
"IPRES_Hugo","EP_RESP_TO_WOUNDING_DN_IN_R","ENSG00000213903.9","protein_coding","LTB4R",NA
"IPRES_Hugo","EP_RESP_TO_WOUNDING_DN_IN_R","ENSG00000100292.18","protein_coding","HMOX1",NA
"IPRES_Hugo","EP_RESP_TO_WOUNDING_DN_IN_R","ENSG00000106366.9","protein_coding","SERPINE1",NA
"IPRES_Hugo","EP_RESP_TO_WOUNDING_DN_IN_R",NA,NA,"CCL3L3",NA
"IPRES_Hugo","EP_RESP_TO_WOUNDING_DN_IN_R","ENSG00000125538.12","protein_coding","IL1B",NA
"IPRES_Hugo","EP_RESP_TO_WOUNDING_DN_IN_R","ENSG00000134070.5","protein_coding","IRAK2",NA
"IPRES_Hugo","EP_RESP_TO_WOUNDING_DN_IN_R","ENSG00000088926.14","protein_coding","F11",NA
"IPRES_Hugo","EP_RESP_TO_WOUNDING_DN_IN_R","ENSG00000115607.10","protein_coding","IL18RAP",NA
"IPRES_Hugo","EP_RESP_TO_WOUNDING_DN_IN_R","ENSG00000126218.12","protein_coding","F10",NA
"IPRES_Hugo","EP_RESP_TO_WOUNDING_DN_IN_R","ENSG00000011422.12","protein_coding","PLAUR",NA
"IPRES_Hugo","EP_RESP_TO_WOUNDING_DN_IN_R","ENSG00000163421.9","protein_coding","PROK2",NA
"IPRES_Hugo","EP_RESP_TO_WOUNDING_DN_IN_R","ENSG00000123610.5","protein_coding","TNFAIP6",NA
"IPRES_Hugo","EP_RESP_TO_WOUNDING_DN_IN_R","ENSG00000178726.7","protein_coding","THBD",NA
"IPRES_Hugo","EP_RESP_TO_WOUNDING_DN_IN_R","ENSG00000174564.13","protein_coding","IL20RB",NA
"IPRES_Hugo","EP_RESP_TO_WOUNDING_DN_IN_R","ENSG00000124882.4","protein_coding","EREG",NA
"IPRES_Hugo","EP_RESP_TO_WOUNDING_DN_IN_R","ENSG00000255501.3","protein_coding","CARD18",NA
"IPRES_Hugo","EP_RESP_TO_WOUNDING_DN_IN_R","ENSG00000197632.9","protein_coding","SERPINB2",NA
"IPRES_Hugo","EP_RESP_TO_WOUNDING_DN_IN_R","ENSG00000096696.15","protein_coding","DSP",NA
"IPRES_Hugo","EP_RESP_TO_WOUNDING_DN_IN_R","ENSG00000104312.8","protein_coding","RIPK2",NA
"IPRES_Hugo","EP_RESP_TO_WOUNDING_DN_IN_R","ENSG00000132510.11","protein_coding","KDM6B",NA
"IPRES_Hugo","EP_RESP_TO_WOUNDING_DN_IN_R","ENSG00000134259.6","protein_coding","NGF",NA
"IPRES_Hugo","EP_RESP_TO_WOUNDING_DN_IN_R","ENSG00000163739.5","protein_coding","CXCL1",NA
"IPRES_Hugo","EP_RESP_TO_WOUNDING_DN_IN_R","ENSG00000277632.2","protein_coding","CCL3",NA
"IPRES_Hugo","EP_RESP_TO_WOUNDING_DN_IN_R","ENSG00000108691.10","protein_coding","CCL2",NA
"IPRES_Hugo","EP_RESP_TO_WOUNDING_DN_IN_R","ENSG00000113600.12","protein_coding","C9",NA
"IPRES_Hugo","EP_RESP_TO_WOUNDING_DN_IN_R","ENSG00000163734.4","protein_coding","CXCL3",NA
"IPRES_Hugo","EP_RESP_TO_WOUNDING_DN_IN_R","ENSG00000169676.6","protein_coding","DRD5",NA
"IPRES_Hugo","EP_RESP_TO_WOUNDING_DN_IN_R","ENSG00000081041.9","protein_coding","CXCL2",NA
"IPRES_Hugo","EP_RESP_TO_WOUNDING_DN_IN_R","ENSG00000108700.5","protein_coding","CCL8",NA
"IPRES_Hugo","EP_RESP_TO_WOUNDING_DN_IN_R","ENSG00000100739.11","protein_coding","BDKRB1",NA
"IPRES_Hugo","EP_RESP_TO_WOUNDING_DN_IN_R","ENSG00000163737.5","protein_coding","PF4",NA
"IPRES_Hugo","EP_RESP_TO_WOUNDING_DN_IN_R","ENSG00000171049.9","protein_coding","FPR2",NA
"IPRES_Hugo","EP_RESP_TO_WOUNDING_DN_IN_R","ENSG00000124875.10","protein_coding","CXCL6",NA
"IPRES_Hugo","EP_RESP_TO_WOUNDING_DN_IN_R","ENSG00000177238.14","protein_coding","TRIM72",NA
"IPRES_Hugo","EP_RESP_TO_WOUNDING_DN_IN_R","ENSG00000271503.6","protein_coding","CCL5",NA
"IPRES_Hugo","EP_RESP_TO_WOUNDING_DN_IN_R","ENSG00000112658.8","protein_coding","SRF",NA
"IPRES_Hugo","EP_RESP_TO_WOUNDING_DN_IN_R","ENSG00000108688.11","protein_coding","CCL7",NA
"IPRES_Hugo","EP_RESP_TO_WOUNDING_DN_IN_R","ENSG00000067182.8","protein_coding","TNFRSF1A",NA
"IPRES_Hugo","EP_RESP_TO_WOUNDING_DN_IN_R","ENSG00000175426.11","protein_coding","PCSK1",NA
"IPRES_Hugo","EP_RESP_TO_WOUNDING_DN_IN_R","ENSG00000103313.13","protein_coding","MEFV",NA
"IPRES_Hugo","EP_RESP_TO_WOUNDING_DN_IN_R","ENSG00000115009.13","protein_coding","CCL20",NA
"IPRES_Hugo","EP_RESP_TO_WOUNDING_DN_IN_R","ENSG00000203618.6","protein_coding","GP1BB",NA
"IPRES_Hugo","EP_RESP_TO_WOUNDING_DN_IN_R","ENSG00000137709.10","protein_coding","POU2F3",NA
"IPRES_Hugo","EP_RESP_TO_WOUNDING_DN_IN_R","ENSG00000164344.16","protein_coding","KLKB1",NA
"IPRES_Hugo","EP_RESP_TO_WOUNDING_DN_IN_R","ENSG00000167768.4","protein_coding","KRT1",NA
